Year,Month,Region,Pounds,Trips
1988,12,REST OF FL WEST,25898,603
1988,12,ST. AUGUSTINE AREA,10362,125
1988,12,SUWANNEE AREA,71960,1057
1989,1,APALACHICOLA BAY AREA,73195,2125
1989,1,REST OF FL EAST,8159,175
1989,1,REST OF FL WEST,27350,666
1989,1,ST. AUGUSTINE AREA,11950,117
1989,1,SUWANNEE AREA,66863,1012
1989,2,APALACHICOLA BAY AREA,58574,1819
1989,2,REST OF FL EAST,9798,214
1989,2,REST OF FL WEST,20792,458
1989,2,ST. AUGUSTINE AREA,11333,113
1989,2,SUWANNEE AREA,66038,925
1989,3,APALACHICOLA BAY AREA,87390,2157
1989,3,REST OF FL EAST,4243,105
1989,3,REST OF FL WEST,25155,437
1989,3,ST. AUGUSTINE AREA,14287,114
1989,3,SUWANNEE AREA,51292,793
1989,4,APALACHICOLA BAY AREA,75898,1955
1989,4,REST OF FL EAST,4749,101
1989,4,REST OF FL WEST,13997,319
1989,4,ST. AUGUSTINE AREA,11471,112
1989,4,SUWANNEE AREA,58114,888
1989,5,APALACHICOLA BAY AREA,80492,1853
1989,5,REST OF FL EAST,2788,49
1989,5,REST OF FL WEST,12645,274
1989,5,ST. AUGUSTINE AREA,7429,91
1989,5,SUWANNEE AREA,39198,609
1989,6,APALACHICOLA BAY AREA,39353,1138
1989,6,REST OF FL EAST,1601,25
1989,6,REST OF FL WEST,1299,42
1989,6,ST. AUGUSTINE AREA,2317,33
1989,7,APALACHICOLA BAY AREA,93636,1865
1989,7,REST OF FL EAST,866,13
1989,7,REST OF FL WEST,3123,76
1989,7,ST. AUGUSTINE AREA,1044,25
1989,7,SUWANNEE AREA,172,3
1989,8,APALACHICOLA BAY AREA,60740,1933
1989,8,REST OF FL EAST,210,4
1989,8,REST OF FL WEST,1109,39
1989,8,ST. AUGUSTINE AREA,1111,34
1989,9,APALACHICOLA BAY AREA,30318,989
1989,9,REST OF FL EAST,1792,37
1989,9,REST OF FL WEST,5605,122
1989,9,ST. AUGUSTINE AREA,10658,122
1989,9,SUWANNEE AREA,121273,2198
